,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std,days
0,2014-04-08,1,8.0,0.5,1.0,0.1814892623716153,8058.661999702452,6.0,2.0,1963.8740000000005,5442.806999999999,0.0,0.0,162.55100000000002,348.156,223.067,1089.8680000000002,68.551,0.0,0.0,13.176,0.0,0.0,0.0,0.2002240847671078,0
1,2014-04-09,2,7.4,0.0,0.2,0.1012648809523809,9829.376000642776,9.0,2.0,1737.8450000000005,3686.954,1061.494,0.0,530.014,124.362,370.1,2130.7700000000004,131.47,0.0,4.123,51.726,0.0,0.0,0.0,0.131303856735178,1
2,2014-04-10,3,6.5,0.25,0.5,0.1431339723389355,6600.758999347689,0.0,1.0,2422.842,3068.87,23.124,0.0,34.28,74.541,316.39700000000005,2080.86,94.007,0.0,0.0,21.103,0.0,0.0,0.0,0.1510052869975457,2
3,2014-04-11,4,7.75,-0.25,0.5,0.1552991452991453,6472.98200058937,3.0,7.0,11468.3,2590.276,0.0,0.0,40.733,1.025,68.435,3991.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1940289977414707,3
4,2014-04-12,5,7.0,-0.2,0.6,0.0445573911159067,1214.8420004844677,3.0,1.0,920.293,270.11,0.0,0.0,0.0,20.135,82.652,862.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133872794597959,4
5,2014-04-13,6,6.6,-0.4,0.4,0.0386104404618194,5777.400000095364,4.0,0.0,654.644,4003.0949999999993,0.0,0.0,275.75800000000004,54.747,89.641,646.166,0.0,0.0,0.0,53.66,0.0,0.0,0.0,0.0843513152176013,5
6,2014-04-14,0,6.4,0.6,0.2,0.0910960553185188,7802.634999036789,8.0,0.0,1398.889,5374.877,0.0,0.0,0.0,0.0,132.74200000000002,888.2510000000001,0.0,0.0,0.0,7.031,0.0,0.0,0.0,0.1156062100186625,6
7,2014-04-15,1,6.5,-0.25,0.0,0.0807479176257451,4465.848001956941,2.0,1.0,1238.695,2643.3450000000003,0.0,0.0,0.0,0.0,215.806,248.51,86.227,0.0,0.0,33.173,0.0,0.0,0.0,0.1122059916562694,7
8,2014-04-16,2,7.2,0.2,0.6,0.105316025619053,7550.633999586106,6.0,3.0,1166.368,5329.130000000001,60.439,0.0,0.0,164.333,283.215,518.9999999999999,22.274,0.0,0.0,5.033,0.0,0.0,0.0,0.1641803056908218,8
9,2014-04-17,3,6.5,0.0,0.0,0.1217844775822023,17583.157001495358,3.0,0.0,1823.599,9495.385,0.0,0.0,0.0,404.3320000000001,119.726,5640.387999999999,185.435,0.0,0.0,0.0,0.0,0.0,0.0,0.1757932266216668,9
10,2014-04-18,4,6.25,-0.25,0.0,0.0737268203759255,11757.935998916622,4.0,14.0,3726.79,7995.14,0.0,0.0,10.035,0.0,228.335,606.1959999999999,157.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1091963016175115,10
