,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
56,2014-02-17,0,,,,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,2014-02-18,1,,,,,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,2014-02-19,2,,,,,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,2014-02-20,3,,,,,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,2014-02-21,4,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,2014-02-22,5,,,,,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78,2014-02-23,6,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,2014-02-24,0,,,,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,2014-02-25,1,,,,,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,2014-02-26,2,,,,,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,2014-02-27,3,,,,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,2014-03-01,5,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,2014-03-03,0,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,2014-03-04,1,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
69,2014-03-05,2,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,2014-03-06,3,,,,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,2014-03-07,4,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72,2014-03-08,5,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,2014-03-09,6,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74,2014-03-10,0,,,,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75,2014-03-11,1,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
76,2014-03-12,2,,,,,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
77,2014-03-13,3,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,2014-03-14,4,6.5,-0.25,0.5,,243.0460002422333,5.0,1.0,269.401,35.161,0.0,0.0,0.0,172.527,0.0,0.0,0.0,
1,2014-03-15,5,6.75,0.75,0.5,,165.01700019836426,8.0,0.0,40.43300000000001,124.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2014-03-16,6,6.166666666666667,-0.6666666666666666,0.3333333333333333,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,2014-03-17,0,6.4,0.0,0.0,0.0,0.694999933242798,8.0,0.0,6.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,2014-03-18,1,7.2,0.4,1.2,0.11873714520773347,3214.6289999485025,7.0,0.0,1349.055,1780.7469999999998,5.019,0.0,45.186,54.256,0.0,94.55199999999999,0.0,
5,2014-03-19,2,7.4,0.2,1.2,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,2014-03-20,3,7.0,0.6,1.0,0.02976190476190475,1306.61699962616,5.0,7.0,459.29400000000004,847.2470000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,2014-03-21,4,7.0,0.2,0.8,0.06922398589065254,820.1199998855589,5.0,0.0,960.1080000000001,195.22000000000003,0.0,0.0,3.01,14.117,0.0,0.0,0.0,
8,2014-03-22,5,7.0,-0.4,1.0,0.0710591929079324,358.5930004119873,0.0,0.0,255.808,80.51,0.0,0.0,0.0,22.17,0.0,0.0,0.0,
9,2014-03-23,6,7.0,0.2,1.0,0.1449275362318841,562.4420001506809,0.0,0.0,29.590999999999994,522.718,0.0,0.0,0.0,10.102,0.0,0.0,0.0,
10,2014-03-24,0,7.0,1.0,0.8,0.0,326.5949997901914,0.0,0.0,258.77700000000004,38.207,0.0,0.0,21.464,8.046,0.0,0.0,0.0,
11,2014-03-25,1,7.0,0.8,1.0,0.0043103448275862,1444.801000356674,1.0,0.0,554.5230000000001,890.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,2014-03-26,2,7.2,1.4,0.8,0.22685185185185197,4948.672999382019,7.0,3.0,838.8729999999998,3850.6910000000003,0.0,0.0,0.0,396.176,0.0,62.299,0.0,
13,2014-03-27,3,7.0,1.0,1.0,0.0,0.462000131607056,12.0,0.0,49.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,2014-03-28,4,7.2,1.2,1.0,0.04206349206349204,1583.144999980926,8.0,0.0,596.674,1039.388,0.0,0.0,0.0,7.021,0.0,0.0,0.0,
15,2014-03-29,5,7.0,-1.2,0.8,0.32595238095238105,194.70199966430664,10.0,0.0,122.675,3.016,0.0,0.0,9.039,10.032,49.613,0.0,0.0,
16,2014-03-30,6,7.4,-0.8,1.0,0.25287698412698423,1070.5850005149844,5.0,0.0,589.299,325.968,0.0,0.0,0.0,0.0,155.979,0.0,0.0,
17,2014-03-31,0,7.2,0.2,1.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,2014-04-01,1,7.2,0.6,1.0,0.2718253968253967,769.8550000190736,1.0,4.0,288.358,734.8209999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,2014-04-02,2,7.2,0.8,1.0,0.18948412698412717,1661.306999921798,7.0,1.0,312.29699999999997,1317.5410000000002,0.0,0.0,9.064,8.031,14.121,0.0,0.0,
20,2014-04-03,3,7.2,0.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,2014-04-04,4,7.2,0.6,1.0,0.1633802430677431,740.1330001354224,2.0,0.0,513.205,339.687,0.0,0.0,0.0,0.0,236.197,0.0,0.0,
