,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
53,2014-02-18,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,2014-02-19,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,2014-02-21,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,2014-02-24,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,2014-02-25,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,2014-02-27,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,2014-02-28,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,2014-03-01,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,2014-03-02,,,,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,2014-03-03,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,2014-03-04,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,2014-03-05,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,2014-03-07,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,2014-03-08,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,2014-03-09,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,2014-03-11,,,,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
69,2014-03-12,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,2014-03-14,8.0,-1.0,2.0,,5622.509999036791,3.0,0.0,257.071,4362.429,269.40900000000005,0.0,358.41499999999996,468.64899999999994,0.0,0.0,
1,2014-03-15,6.2,0.0,0.4,,8903.782000064852,3.0,0.0,797.809,6364.988,2050.8260000000005,0.0,174.93099999999998,683.573,0.0,186.877,
2,2014-03-16,6.333333333333333,-0.6666666666666666,0.0,,5548.048998832702,3.0,0.0,389.773,4189.964,780.33,0.0,88.685,0.0,0.0,55.344,
3,2014-03-17,6.0,-0.4,0.4,0.08337052096204703,5613.824001312256,0.0,2.0,839.5970000000001,1774.029,1020.8220000000002,0.0,148.272,0.0,0.0,7.0680000000000005,
4,2014-03-18,7.5,0.25,1.0,0.11319590615792097,7177.02600073815,9.0,0.0,422.774,4411.521000000001,905.3699999999998,0.0,67.334,0.0,0.0,28.289,
5,2014-03-19,6.75,1.0,0.75,0.13369126492653632,6095.810001134871,0.0,0.0,235.80700000000007,4320.741,1031.177,0.0,122.397,0.0,0.0,23.393,
6,2014-03-20,7.2,1.0,0.8,0.11845679938612319,4862.865999221802,0.0,1.0,122.208,4486.863,512.418,0.0,157.196,0.0,0.0,0.0,
7,2014-03-21,7.25,0.0,1.0,0.050197722898856136,3032.3189995288863,2.0,3.0,393.794,2267.379,375.792,0.0,53.848,0.0,0.0,0.0,
8,2014-03-22,3.75,-2.0,-1.0,0.018560992335206163,1806.1799995899205,0.0,0.0,13.041,1098.569,641.921,0.0,118.05099999999999,0.0,0.0,0.0,
