,date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather
46,2014-02-17,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,2014-02-18,,,,,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,2014-02-19,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,2014-02-20,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,2014-02-21,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,2014-02-22,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,2014-02-23,,,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,2014-02-24,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,2014-02-25,,,,,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,2014-02-26,,,,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,2014-02-27,,,,,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,2014-02-28,,,,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,2014-03-01,,,,,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,2014-03-04,,,,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,2014-03-05,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,2014-03-06,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,2014-03-07,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,2014-03-10,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,2014-03-12,,,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,2014-03-13,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,2014-03-15,,,,,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
69,2014-03-16,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,2014-03-17,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,2014-03-18,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
71,2014-03-20,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
72,2014-03-21,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
73,2014-03-22,,,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,2014-03-23,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,2014-03-24,7.0,-1.0,0.0,0.043431899641577044,2508.2549996376047,3.0,0.0,43.495,1100.5140000000001,1073.3770000000002,0.0,0.0,220.348,292.297,0.0,0.0,
1,2014-03-25,7.0,-0.2,0.6,0.1377085877085877,7729.77000069618,0.0,0.0,116.887,3930.897000000001,2999.969,0.0,276.93800000000005,112.22,874.732,0.0,0.0,
2,2014-03-26,8.0,0.5,1.5,0.13556265296587805,7892.531001091003,2.0,0.0,212.512,3234.5,1950.9569999999999,0.0,35.692,60.047000000000004,3143.6530000000002,564.176,0.0,
3,2014-03-27,7.0,0.25,0.25,0.13232860520094558,8167.157000541684,1.0,0.0,523.6959999999999,4045.84,2453.259,0.0,0.0,55.647999999999996,1081.538,0.0,0.0,
4,2014-03-28,7.6,-0.2,0.8,0.17147079420003292,6928.638001918794,0.0,1.0,42.311,3588.1910000000003,1995.9959999999999,0.0,42.263,367.836,3417.1030000000005,80.015,0.0,
5,2014-03-29,7.8,0.0,1.0,0.11158088235294115,3907.1309998035445,0.0,0.0,32.411,1881.4829999999997,786.5549999999998,0.0,0.0,101.467,1257.5230000000001,0.0,0.0,
6,2014-03-30,7.8,0.0,0.8,0.21129785247432314,8933.720999002451,1.0,4.0,1874.664,549.8459999999999,2057.888999999999,2386.3320000000003,0.0,44.391,2072.094,0.0,0.0,
7,2014-03-31,7.0,-0.2,0.4,0.16060545689131744,7504.32200050354,1.0,0.0,2017.195,2061.095,2416.3320000000003,0.0,27.522,49.306,2699.895,0.0,0.0,
8,2014-04-01,7.75,0.0,0.75,0.2258536234024724,8370.869999647139,3.0,0.0,1351.4840000000002,4034.7209999999995,775.56,866.915,0.0,56.760999999999996,2224.1189999999997,0.0,0.0,
9,2014-04-02,6.8,-0.6,0.4,0.16255252100840337,9183.50400090218,4.0,0.0,597.655,4435.702,1418.4969999999998,0.0,167.0,58.694,2845.707,22.122,0.0,
10,2014-04-03,7.2,0.0,0.4,0.2095738980962975,7130.967000246046,2.0,0.0,509.23999999999995,3895.8750000000005,1316.649,9.028,0.0,54.772,1875.6380000000001,167.51500000000001,0.0,
11,2014-04-04,7.0,-0.4,0.2,0.1495238095238096,9345.66300010681,0.0,0.0,859.8790000000001,3580.0789999999997,1366.65,1636.732,0.0,41.732,2963.0199999999995,549.962,0.0,
12,2014-04-05,7.0,-0.4,0.8,0.2922739018087855,4097.588000059133,2.0,0.0,537.624,1395.3129999999999,559.4639999999999,0.0,0.0,81.583,2637.35,119.68,0.0,
13,2014-04-06,7.0,-1.0,0.4,0.020425724637681143,5300.54499936104,1.0,0.0,760.537,886.779,533.16,0.0,0.0,76.721,3042.546,0.0,0.0,
14,2014-04-07,6.2,-0.6,0.0,0.19494720965309192,6208.289999485021,3.0,0.0,402.88599999999997,3437.3749999999995,581.422,0.0,0.0,43.457,2274.866,37.449,0.0,
15,2014-04-08,6.6,-0.2,0.0,0.17494855967078193,8079.531998872757,4.0,1.0,2506.4260000000004,3951.1539999999995,1588.404,636.958,172.81699999999998,61.25599999999999,1512.964,4.01,0.0,
16,2014-04-09,7.4,0.4,0.8,0.10309597523219814,9689.76699995995,1.0,0.0,1589.932,4194.89,2658.299,0.0,473.817,60.772,3642.3250000000003,247.616,0.0,
17,2014-04-10,7.6,-0.2,0.8,0.22428424516659815,7552.356999874117,1.0,4.0,776.309,3493.525,926.8639999999999,9.124,0.0,57.60600000000001,3132.322,890.794,0.0,
18,2014-04-11,7.8,-0.2,1.0,0.20591670956453664,6816.561999559404,0.0,0.0,48.418000000000006,2938.318,6358.007,0.0,90.136,61.620999999999995,3226.069,100.72,0.0,
19,2014-04-12,8.2,0.4,1.0,0.23391223155929042,4206.082000732421,0.0,0.0,257.65500000000003,682.347,1565.4920000000002,371.671,0.0,90.893,1145.4720000000002,70.887,0.0,
20,2014-04-13,6.5,-1.5,0.25,0.34474153297682714,7659.935000181202,2.0,0.0,1229.583,4051.3829999999994,710.222,0.0,0.0,55.635,2150.362,404.989,0.0,
21,2014-04-14,7.25,-0.25,0.75,0.17874293785310733,4463.4839992523175,2.0,0.0,1113.333,2002.9150000000002,571.1430000000001,0.0,29.434,38.558,701.4730000000001,0.0,0.0,
22,2014-04-15,7.0,-0.4,0.6,0.20056360708534615,6740.1799998283395,5.0,1.0,1489.2960000000003,3870.2549999999997,1070.0729999999999,0.0,71.646,58.973,2801.255,18.202,0.0,
23,2014-04-16,7.6,0.0,0.4,0.14506508485747238,15929.543998718265,1.0,0.0,1915.677,6571.259,2434.444,0.0,18.5,65.859,3611.6620000000003,80.631,0.0,
24,2014-04-17,6.8,0.2,0.6,0.151670692431562,12332.707000970844,1.0,0.0,621.9739999999999,4482.571000000001,3229.6189999999997,0.0,297.992,1444.059,2761.658,37.3,0.0,
25,2014-04-18,6.25,-1.0,0.5,0.1462154754374868,7052.253001213076,3.0,0.0,714.672,3474.7570000000005,1980.9539999999997,76.947,10.072,57.885,913.463,331.92999999999995,0.0,
26,2014-04-19,6.8,0.2,0.6,0.09826388888888894,5234.9790008068085,4.0,0.0,596.8720000000001,3080.5990000000006,1188.453,0.0,0.0,61.891,188.92000000000002,116.222,0.0,
27,2014-04-20,8.2,0.6,0.8,0.029657567049808403,5498.4280004501325,0.0,0.0,105.115,1344.6159999999998,1232.2189999999998,0.0,0.0,52.714,2966.189,0.0,0.0,
28,2014-04-21,7.0,0.2,0.6,0.07823937267214572,7144.265999794008,1.0,0.0,36.102,2974.157,2439.4519999999993,0.0,0.0,60.81099999999999,2282.25,143.069,0.0,
29,2014-04-22,6.6,-0.4,0.6,0.14449779911964777,15079.281998634337,6.0,1.0,1639.879,7600.51,4082.612,0.0,43.966,72.462,1462.693,230.95000000000002,0.0,
30,2014-04-23,7.0,0.0,0.8,0.13372735533587954,9755.811999559404,4.0,0.0,355.76699999999994,5508.011999999999,2288.483,0.0,102.875,138.344,2548.81,191.863,0.0,
31,2014-04-24,7.75,-0.25,0.75,0.23571051267413404,7186.624999284746,5.0,3.0,1067.7869999999998,4002.342,1071.875,0.0,4.016,123.40899999999999,958.2839999999999,208.069,0.0,
32,2014-04-25,6.4,-1.0,0.4,0.2649999999999999,8179.014999866491,3.0,0.0,808.6880000000001,3095.93,1781.6750000000002,0.0,59.679,48.459999999999994,3203.5419999999995,255.394,0.0,
33,2014-04-26,7.5,0.0,1.0,0.2065972222222223,6388.543001174927,10.0,1.0,694.78,2761.1749999999993,1091.925,0.0,136.35399999999998,65.94800000000001,712.4290000000001,924.031,0.0,
34,2014-04-27,7.2,-0.6,1.0,0.059715839460784285,1710.3350005149846,0.0,0.0,0.0,529.021,354.392,0.0,0.0,52.556,708.3480000000001,166.64,0.0,
35,2014-04-28,6.75,-0.25,0.5,0.17232443482443482,6545.04800081253,0.0,0.0,50.263,4157.267,1114.321,0.0,31.483000000000004,29.229000000000003,1573.857,0.0,0.0,
36,2014-04-29,7.25,0.0,1.0,0.1751971158833905,8530.252000808712,2.0,0.0,1423.8790000000001,4224.185999999999,2081.5639999999994,0.0,0.044,40.293,4444.076,0.0,0.0,
37,2014-04-30,6.8,-0.6,0.6,0.10888427751577054,8637.355999231337,1.0,0.0,788.8109999999999,3771.9199999999996,2404.0750000000003,0.0,92.167,42.517,1605.029,63.787,0.0,
38,2014-05-01,8.0,0.0,1.0,0.3267268445839875,3277.344000101089,2.0,0.0,290.615,1144.89,1676.5109999999997,0.0,11.035,43.190999999999995,1206.588,276.651,0.0,
39,2014-05-02,7.2,-0.75,1.0,0.18526365348399243,6839.912998199465,4.0,0.0,915.9829999999998,2552.2369999999996,387.63800000000003,0.0,0.0,37.36,2691.042,263.373,0.0,
40,2014-05-03,6.25,-0.75,0.0,0.22025871459694987,1446.6239998340611,0.0,0.0,4.009,995.1070000000002,234.76900000000003,0.0,123.711,75.887,494.587,0.0,0.0,
41,2014-05-04,7.6,-0.8,0.75,0.16709055715309384,3883.2509994506845,0.0,0.0,366.025,1572.9769999999999,272.503,0.0,0.0,135.427,1430.776,4.015,93.99700000000001,
42,2014-05-05,7.0,-0.6666666666666666,0.6666666666666666,0.082037037037037,5316.62299990654,0.0,0.0,24.224,2457.729,742.9340000000001,0.0,0.0,31.449,2002.652,56.464,0.0,
45,2014-05-06,,,,0.12715530656707125,8128.757998943329,1.0,0.0,250.91200000000003,4816.999,1168.5059999999999,0.0,108.78299999999999,0.0,3125.973,40.743,0.0,
43,2014-05-07,6.75,-0.5,0.25,0.1173852329024742,9289.809000968933,2.0,3.0,1376.3550000000002,4161.498999999999,2098.901,0.0,187.29399999999998,624.226,2161.7160000000003,24.233,0.0,
44,2014-05-08,7.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,303.46299999999997,14.932,0.0,0.0,0.0,63.596,0.0,0.0,
