,date,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood_std,circumplex.arousal_std,circumplex.valence_std,activity_std
2,2014-03-21,4,6.2,0.2,0.2,0.13405010398938863,17978.907000064843,6.0,0.0,3139.218,6280.889999999999,1007.4560000000001,49.544,0.0,172.20600000000002,239.751,4508.500000000001,915.4450000000002,0.0,598.754,0.0,0.0,0.0,0.0,0.2214778117787792
3,2014-03-22,5,6.4,0.6,0.5,0.2368802192399581,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,0.0,0.0,98.14300000000001,439.6319999999999,37.305,0.0,117.62100000000001,0.0,0.0,0.0,0.0,0.16614310362592943
4,2014-03-23,6,6.8,0.2,0.8,0.14274111580506368,6773.832001447676,0.0,0.0,1286.2459999999999,5237.319,94.346,43.403000000000006,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386,0.0,0.0,0.0,0.11499881462641877
5,2014-03-24,0,6.0,0.8,0.0,0.07896105611559796,15047.351000547405,10.0,0.0,866.9559999999999,9270.629,976.971,34.106,0.0,3.01,66.55799999999999,3223.6259999999997,419.805,0.0,178.732,0.0,0.0,0.0,0.0,0.1047925063380675
6,2014-03-25,1,6.75,0.5,0.5,0.09837411239050675,21475.35499906539,0.0,1.0,1032.768,10276.751,68.206,43.053999999999995,0.0,0.0,178.819,1919.471,0.0,235.223,222.893,0.0,0.0,0.0,0.0,0.14711184961029922
7,2014-03-26,2,6.6,-0.2,0.6,0.10130832167007593,16423.80100035667,0.0,0.0,1167.497,8988.752999999999,910.479,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0,0.0,0.0,0.0,0.17759839134308802
8,2014-03-27,3,7.0,0.2,0.8,0.1595106409690975,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,0.0,182.45100000000002,58.532000000000004,935.381,47.314,0.0,179.02899999999997,0.0,0.0,0.0,0.0,0.22628477081502257
9,2014-03-28,4,6.4,-0.6,0.6,0.09569802163712016,4923.488999605181,5.0,0.0,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,0.0,225.951,512.741,1133.0089999999998,0.0,301.717,0.0,0.0,0.0,0.0,0.16556278269391972
10,2014-03-29,5,8.0,0.2,1.0,0.06820281010186964,8322.6219997406,4.0,1.0,1952.6299999999999,2720.692,1627.429,0.0,0.0,0.0,169.594,472.88800000000003,52.435,0.0,600.637,0.0,0.0,0.0,0.0,0.09434551809617756
11,2014-03-30,6,7.5,-0.5,0.75,0.049092970521542004,4523.2140009403265,0.0,0.0,414.36500000000007,1298.505,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,0.0,0.0,0.0,0.082077346508157
12,2014-03-31,0,7.4,0.0,0.6,0.07050548088338955,11836.834000349041,6.0,0.0,2961.4049999999997,5332.637000000001,1758.92,41.255,51.176,0.0,268.55400000000003,1350.655,183.381,29.29,210.305,0.0,0.0,0.0,0.0,0.1121337528754649
13,2014-04-01,1,6.0,0.2,0.0,0.11844324271273599,17173.906002044678,1.0,0.0,1385.517,6095.526,1030.637,547.8259999999999,234.741,92.388,121.19,5040.067000000001,1614.6209999999999,0.0,517.636,0.0,0.0,0.0,0.0,0.18870745810498965
14,2014-04-02,2,6.5,0.3333333333333333,0.6666666666666666,0.10191661063822345,21358.510999917988,4.0,0.0,3614.349,6920.155999999999,1343.376,247.77700000000002,0.0,90.481,541.541,3428.792,0.0,0.0,341.371,0.0,0.0,0.0,0.0,0.10774978073001786
15,2014-04-03,3,6.4,-1.2,0.0,0.04923847270844108,21401.835000753403,4.0,0.0,2321.464,14438.081999999999,1293.6309999999999,76.234,0.0,0.0,213.90200000000002,3154.241,19.082,0.0,182.77200000000002,0.0,0.0,0.0,0.0,0.05768813609579026
